food_id,food_name,genus,species,food_group,food_subgroup
726,Green Sea Turtle,Chelonia,mydas,Aquatic foods,Other aquatic foods
748,Hibiscus Tea,Hibiscus,sabdariffa,Teas,Herbal teas
786,Horned Melon,Cucumis,metuliferus,Gourds,Gourds
797,Canola,Brassica,napus,Herbs and spices,Oilseed crops
798,Babassu,Attalea,speciosa,Herbs and Spices,Oilseed crops
799,Cupuaçu,Theobroma,grandiflorum,Herbs and Spices,Oilseed crops
800,Shea Tree,Vitellaria,paradoxa,Herbs and Spices,Oilseed crops
801,Tea-oil Camellia,Camellia,oleifera,Herbs and Spices,Oilseed crops
813,Nance,Byrsonima,crassifolia,Fruits,Tropical fruits
814,Naranjilla,Solanum,quitoense,Fruits,Tropical fruits
849,Greenthread,Thelesperma,,Teas,Herbal teas
863,Yellow Pond Lily,Nuphar,lutea,Herbs and Spices,Herbs
879,"Pepper Cultivar (Rocoto, Canário etc.)",Capsicum,pubescens,Vegetables,Fruit vegetables
880,Garlic,Allium,sativum,Herbs and Spices,Herbs
881,Cabbage,Brassica,oleracea,Vegetables,Cabbages
882,Chinese Bayberry,Morella,rubra,Fruits,Berries
887,"Brassica sp. (Mustard, Cabbage Cultivars)",Brassica,,Vegetables,Brassicas
909,"Pepper Cultivar (Bell, Cayenne, Jalapeño, etc.)",Capsicum,annuum,Vegetables,Fruit vegetables
910,"Pepper Cultivar (Bell, Cayenne, Jalapeño, etc.)",Capsicum,annuum,Vegetables,Fruit vegetables
911,"Pepper Cultivar (Bell, Cayenne, Jalapeño, etc.)",Capsicum,annuum,Vegetables,Fruit vegetables
912,"Pepper Cultivar (Bell, Cayenne, Jalapeño, etc.)",Capsicum,annuum,Vegetables,Fruit vegetables
913,Italian Sweet Pepper,Capsicum,annuum,Vegetables,Fruit vegetables
914,Common Bean,Phaseolus,vulgaris,Pulses,Beans
915,Common Bean,Phaseolus,vulgaris,Pulses,Beans
916,Western Serviceberry,Amelanchier,alnifolia,Fruits,Berries
917,Nanjing Cherry,Prunus,tomentosa,Fruits,Berries
918,Kabocha,Cucurbita,maxima,Gourds,Gourds
